incidentId,type,lat,lng,nearestStationId,nearestStationType,minDurationSeconds,minDurationMinutes
139,crime,19.179665,72.949195,3,police,301,5.0
140,crime,18.942701,72.861364,1,police,1086,18.1
141,hospital,18.898031,72.843107,,,,
142,fire,19.004547,72.805189,1,police,743,12.4
143,hospital,19.068931,72.93539,2,police,465,7.8
144,fire,18.922916,72.944159,8,hospital,1673,27.9
145,hospital,18.897498,72.878368,1,police,2966,49.4
146,hospital,18.914519,72.921692,8,hospital,2612,43.5
147,hospital,19.096859,72.773247,,,,
148,hospital,19.00307,72.793706,1,police,733,12.2
149,hospital,19.165235,72.813534,6,hospital,1617,27.0
150,fire,18.905379,72.924518,8,hospital,2013,33.5
151,fire,18.926279,72.836739,1,police,176,2.9
152,hospital,18.98146,72.860513,5,hospital,437,7.3
153,crime,19.105306,72.957511,3,police,1198,20.0
154,fire,19.142769,72.94655,3,police,645,10.8
155,crime,19.044304,72.979746,,,,
156,crime,19.11777,72.88391,6,hospital,272,4.5
157,crime,19.094284,72.952288,,,,
158,hospital,19.026548,72.884017,5,hospital,414,6.9
159,crime,19.101469,72.917786,2,police,382,6.4
160,fire,19.151938,72.879527,6,hospital,453,7.6
161,crime,19.005255,72.882442,5,hospital,706,11.8
162,hospital,19.144049,72.987688,10,fire,195,3.2
163,crime,19.178024,72.932276,3,police,529,8.8
164,fire,18.927698,72.858833,1,police,2788,46.5
165,crime,19.014874,72.958437,2,police,789,13.1
166,crime,19.095339,72.961652,,,,
167,fire,19.04743,72.802632,2,police,607,10.1
168,fire,18.980408,72.860128,5,hospital,424,7.1
169,fire,19.065456,72.921065,2,police,327,5.5
170,fire,19.012397,72.907494,5,hospital,821,13.7
171,hospital,18.943631,72.957941,8,hospital,1777,29.6
172,crime,18.99023,72.864541,5,hospital,449,7.5
173,fire,19.124257,72.921425,2,police,541,9.0
174,fire,19.094708,72.948575,,,,
175,hospital,18.932559,72.884528,1,police,12079,201.3
176,hospital,18.982105,72.778026,,,,
177,fire,18.950246,72.774215,1,police,726,12.1
178,hospital,18.912459,72.841849,8,hospital,8507,141.8
179,crime,18.980226,72.787083,1,police,561,9.3
180,crime,18.946207,72.824032,1,police,240,4.0
181,crime,19.115014,72.883869,6,hospital,281,4.7
182,hospital,18.999277,72.979046,5,hospital,846,14.1
183,hospital,19.044467,72.786943,,,,
184,crime,19.184676,72.970119,3,police,224,3.7
185,hospital,18.950948,72.957496,8,hospital,1676,27.9
186,fire,19.177985,72.802896,6,hospital,1408,23.5
187,hospital,19.033673,72.827304,2,police,447,7.4
188,hospital,18.92948,72.812729,1,police,380,6.3
189,hospital,19.190499,72.79143,12,fire,1486,24.8
190,hospital,18.891584,72.776878,,,,
191,hospital,18.950791,72.892409,1,police,3470,57.8
192,crime,19.101543,72.97604,,,,
193,hospital,19.103604,72.944131,2,police,622,10.4
194,fire,19.170091,72.947126,3,police,463,7.7
195,crime,18.965177,72.82883,1,police,335,5.6
196,hospital,19.087684,72.963539,,,,
197,fire,18.894127,72.854041,1,police,5349,89.2
198,fire,18.957948,72.929868,1,police,8162,136.0
199,crime,19.098849,72.897554,2,police,373,6.2
200,fire,19.052186,72.858535,2,police,277,4.6
201,crime,18.896983,72.875107,1,police,5444,90.7
202,hospital,18.91391,72.930796,8,hospital,1902,31.7
203,fire,19.126849,72.886466,6,hospital,265,4.4
204,hospital,18.903602,72.821137,1,police,439,7.3
205,hospital,18.99199,72.896212,5,hospital,501,8.3
206,fire,19.111027,72.965459,3,police,1198,20.0
207,crime,19.048812,72.840685,2,police,420,7.0
208,hospital,18.907075,72.988252,8,hospital,1222,20.4
209,fire,19.025667,72.98508,,,,
210,hospital,19.036421,72.771852,,,,
211,hospital,19.200642,72.80535,6,hospital,1201,20.0
212,crime,19.119624,72.957762,3,police,1198,20.0
213,hospital,19.182391,72.805246,6,hospital,1267,21.1
214,hospital,19.132015,72.963074,3,police,1046,17.4
215,crime,19.068758,72.983487,8,hospital,479,8.0
216,crime,19.072432,72.966596,2,police,485,8.1
217,fire,19.059528,72.981627,8,hospital,383,6.4
218,crime,19.016896,72.772319,,,,
219,hospital,19.093235,72.983062,10,fire,689,11.5
220,fire,19.016876,72.913167,5,hospital,923,15.4
221,hospital,19.057518,72.83217,2,police,569,9.5
222,crime,19.068867,72.785785,,,,
223,fire,19.200064,72.902252,12,fire,1269,21.1
224,fire,18.930958,72.940937,8,hospital,2035,33.9
225,hospital,19.014894,72.932798,,,,
226,crime,19.167553,72.878842,6,hospital,863,14.4
227,crime,19.049903,72.957849,8,hospital,1038,17.3
228,crime,19.106562,72.974113,10,fire,570,9.5
229,crime,19.102931,72.896325,2,police,382,6.4
230,fire,18.98854,72.788142,,,,
231,hospital,19.159329,72.883791,6,hospital,573,9.5
232,hospital,19.140644,72.821217,6,hospital,659,11.0
233,fire,19.155396,72.989926,10,fire,151,2.5
234,crime,18.914897,72.902253,8,hospital,4084,68.1
235,crime,19.028479,72.858392,5,hospital,147,2.5
236,crime,19.198193,72.771377,12,fire,1773,29.5
237,hospital,19.093984,72.938906,2,police,391,6.5
238,fire,19.038495,72.967295,8,hospital,1178,19.6
239,hospital,19.104156,72.956282,3,police,991,16.5
240,hospital,19.041838,72.966581,8,hospital,1149,19.1
241,hospital,19.184919,72.915423,6,hospital,1667,27.8
242,crime,19.157274,72.832995,6,hospital,732,12.2
243,hospital,18.960014,72.903547,1,police,4486,74.8
244,hospital,19.161573,72.778358,6,hospital,1655,27.6
245,crime,18.929365,72.862816,8,hospital,10905,181.8
246,hospital,19.143294,72.823682,6,hospital,702,11.7
247,hospital,19.165687,72.924507,3,police,666,11.1
248,crime,19.171468,72.917507,6,hospital,1414,23.6
249,hospital,19.021608,72.853073,5,hospital,127,2.1
250,hospital,19.118014,72.795085,6,hospital,1991,33.2
251,crime,18.96687,72.848072,1,police,385,6.4
252,fire,19.018351,72.80436,5,hospital,690,11.5
253,crime,19.137613,72.901453,6,hospital,568,9.5
254,hospital,19.186064,72.933748,3,police,536,8.9
255,fire,19.134276,72.943532,2,police,596,9.9
256,hospital,19.203168,72.845026,12,fire,878,14.6
257,hospital,19.064142,72.963093,2,police,464,7.7
258,crime,19.155214,72.904854,6,hospital,1150,19.2
259,fire,19.187472,72.779247,12,fire,1785,29.7
260,fire,18.955273,72.863271,1,police,1448,24.1
261,hospital,19.094582,72.881375,2,police,189,3.1
262,fire,18.92876,72.903858,1,police,10790,179.8
263,crime,19.014469,72.928822,,,,
264,hospital,18.990022,72.773906,,,,
265,fire,19.021382,72.975991,,,,
266,fire,18.94399,72.79557,1,police,522,8.7
267,crime,19.077181,72.865178,2,police,195,3.2
268,crime,18.936571,72.807037,1,police,530,8.8
269,fire,19.140667,72.860514,6,hospital,455,7.6
270,crime,19.182757,72.873729,6,hospital,846,14.1
271,crime,19.193876,72.895359,12,fire,1327,22.1
272,crime,18.956145,72.832894,1,police,252,4.2
273,crime,19.179991,72.911292,6,hospital,1403,23.4
274,hospital,18.904927,72.89973,8,hospital,2020,33.7
275,fire,18.956943,72.820958,1,police,290,4.8
276,fire,19.195996,72.862009,12,fire,643,10.7
277,fire,18.964641,72.937394,1,police,6903,115.1
278,fire,18.924824,72.906188,8,hospital,3775,62.9
279,hospital,19.169091,72.878632,6,hospital,861,14.4
280,crime,18.972136,72.844314,1,police,377,6.3
281,crime,19.19119,72.874302,12,fire,933,15.6
282,hospital,18.938498,72.84985,1,police,1805,30.1
283,hospital,19.04134,72.81485,5,hospital,824,13.7
284,hospital,19.120378,72.827749,6,hospital,530,8.8
285,fire,19.114437,72.888425,2,police,330,5.5
286,fire,19.02359,72.975995,,,,
287,fire,19.010444,72.951962,2,police,789,13.1
288,fire,18.910881,72.919955,8,hospital,1903,31.7
289,fire,18.950269,72.954974,8,hospital,1614,26.9
290,fire,18.948311,72.8436,1,police,165,2.7
291,crime,19.178053,72.9129,6,hospital,1360,22.7
292,crime,19.204662,72.793194,12,fire,1790,29.8
293,fire,19.007979,72.78268,,,,
294,crime,19.02184,72.876326,5,hospital,488,8.1
295,hospital,18.898386,72.88293,1,police,3026,50.4
296,crime,19.034583,72.859641,5,hospital,186,3.1
297,hospital,18.937485,72.870032,1,police,1435,23.9
298,hospital,19.018375,72.963663,2,police,789,13.1
299,fire,18.955222,72.962713,8,hospital,1586,26.4
300,hospital,19.062739,72.981908,8,hospital,371,6.2
301,fire,19.049092,72.833957,2,police,467,7.8
302,hospital,19.16467,72.950349,3,police,536,8.9
303,hospital,18.944252,72.92797,8,hospital,1964,32.7
304,fire,19.122755,72.780732,6,hospital,2039,34.0
305,hospital,18.911777,72.982165,8,hospital,1233,20.6
306,crime,19.13923,72.77859,6,hospital,1716,28.6
307,hospital,18.957913,72.932034,1,police,8098,135.0
308,fire,19.168411,72.777443,6,hospital,1730,28.8
309,fire,18.96509,72.879778,1,police,2865,47.8
310,crime,19.144002,72.94149,3,police,608,10.1
311,crime,18.993391,72.952352,5,hospital,746,12.4
312,crime,19.000882,72.971264,5,hospital,818,13.6
313,fire,19.000412,72.80693,1,police,727,12.1
314,fire,19.173339,72.832103,6,hospital,798,13.3
315,hospital,19.09732,72.862627,6,hospital,307,5.1
316,fire,19.107197,72.843286,6,hospital,400,6.7
317,fire,18.943405,72.863494,1,police,1104,18.4
318,crime,19.089741,72.842068,2,police,323,5.4
319,crime,18.918427,72.907969,8,hospital,3647,60.8
320,crime,19.206629,72.907211,12,fire,1221,20.4
321,fire,19.159981,72.852672,6,hospital,639,10.6
322,crime,18.95509,72.858937,1,police,1128,18.8
323,crime,19.14097,72.928741,2,police,645,10.7
324,fire,18.938389,72.865437,1,police,1314,21.9
325,hospital,19.041918,72.841895,2,police,440,7.3
326,hospital,19.128054,72.818875,6,hospital,618,10.3
327,crime,19.041663,72.892302,2,police,417,7.0
328,hospital,19.163075,72.907911,6,hospital,1157,19.3
329,hospital,19.015613,72.92376,5,hospital,929,15.5
330,crime,19.167672,72.826687,6,hospital,859,14.3
331,hospital,19.189425,72.848226,6,hospital,794,13.2
332,fire,19.009288,72.779183,,,,
333,crime,19.130276,72.867783,6,hospital,236,3.9
334,hospital,18.94952,72.966781,8,hospital,1627,27.1
335,fire,19.167231,72.773449,6,hospital,1747,29.1
336,crime,19.199036,72.802879,6,hospital,1225,20.4
337,hospital,19.137188,72.845881,6,hospital,472,7.9
338,crime,19.096106,72.883414,2,police,164,2.7
339,fire,18.939569,72.987873,8,hospital,1602,26.7
340,fire,19.076887,72.948391,2,police,655,10.9
341,hospital,19.119957,72.971642,3,police,1081,18.0
342,crime,19.13379,72.817412,6,hospital,689,11.5
343,crime,18.994643,72.792433,1,police,716,11.9
344,fire,19.065274,72.988472,8,hospital,420,7.0
345,hospital,19.080728,72.833348,2,police,432,7.2
346,hospital,19.067378,72.987143,8,hospital,391,6.5
347,hospital,19.006274,72.863897,5,hospital,333,5.5
348,fire,19.050162,72.790958,,,,
349,fire,19.172475,72.834157,6,hospital,746,12.4
350,crime,19.04245,72.817932,2,police,618,10.3
351,hospital,18.940429,72.806705,1,police,448,7.5
352,fire,18.989654,72.872824,8,hospital,1717,28.6
353,fire,18.93726,72.792991,1,police,530,8.8
354,crime,19.18214,72.91052,6,hospital,1463,24.4
355,hospital,19.119034,72.819441,6,hospital,682,11.4
356,crime,19.090731,72.780572,,,,
357,crime,19.02002,72.902131,5,hospital,621,10.3
358,hospital,18.934072,72.818547,1,police,250,4.2
359,fire,18.939886,72.817984,1,police,293,4.9
360,fire,19.06636,72.963404,2,police,468,7.8
361,fire,18.966217,72.957133,8,hospital,1597,26.6
362,fire,18.964766,72.855831,1,police,482,8.0
363,fire,18.936108,72.832613,1,police,112,1.9
364,fire,19.108737,72.859456,6,hospital,200,3.3
365,fire,19.149528,72.869092,6,hospital,732,12.2
366,fire,19.050633,72.942651,2,police,526,8.8
367,crime,19.069487,72.826199,2,police,598,10.0
368,hospital,19.085994,72.78542,,,,
369,fire,18.90539,72.77437,,,,
370,crime,18.969851,72.804216,1,police,571,9.5
371,crime,18.940115,72.901244,1,police,10686,178.1
372,fire,19.170408,72.918447,6,hospital,1433,23.9
373,fire,18.942284,72.87606,8,hospital,12187,203.1
374,fire,19.058206,72.876303,2,police,480,8.0
375,crime,19.020242,72.929007,5,hospital,897,14.9
376,fire,18.928659,72.841874,1,police,133,2.2
377,hospital,19.080717,72.913862,2,police,348,5.8
378,hospital,19.194244,72.98785,3,police,282,4.7
379,fire,19.107704,72.907654,2,police,696,11.6
380,hospital,18.975382,72.810821,1,police,582,9.7
381,crime,19.171613,72.966802,3,police,375,6.3
382,fire,19.072813,72.885928,9,fire,165,2.8
383,fire,19.100277,72.975645,,,,
384,crime,19.209984,72.84449,12,fire,854,14.2
385,fire,18.901501,72.777756,,,,
386,hospital,19.043636,72.815204,2,police,617,10.3
387,fire,19.025455,72.974003,,,,
388,hospital,18.946296,72.91378,1,police,9507,158.5
389,hospital,19.151101,72.815286,6,hospital,865,14.4
390,crime,19.082553,72.813109,2,police,596,9.9
391,crime,18.892437,72.967245,8,hospital,1379,23.0
392,hospital,19.03858,72.912033,2,police,612,10.2
393,crime,19.092998,72.953858,,,,
394,hospital,19.012857,72.872012,5,hospital,324,5.4
395,crime,19.208269,72.901129,12,fire,1143,19.0
396,fire,18.931807,72.971261,8,hospital,1763,29.4
397,hospital,19.162452,72.814047,6,hospital,1119,18.7
398,crime,19.028617,72.955575,2,police,786,13.1
399,crime,19.106676,72.924905,2,police,429,7.1
400,crime,19.090791,72.936177,2,police,422,7.0
401,fire,18.955189,72.782185,1,police,688,11.5
402,hospital,19.122511,72.988314,10,fire,443,7.4
403,hospital,18.891967,72.895758,1,police,3498,58.3
404,hospital,18.948754,72.956063,8,hospital,1580,26.3
405,hospital,18.938487,72.778661,1,police,873,14.6
406,crime,18.986388,72.809894,1,police,633,10.6
407,crime,18.94961,72.920764,1,police,9051,150.9
408,fire,19.098436,72.93507,2,police,515,8.6
409,crime,19.091228,72.896376,2,police,359,6.0
410,fire,18.902248,72.943184,8,hospital,1935,32.3
411,crime,19.001244,72.771518,,,,
412,hospital,19.169907,72.809647,6,hospital,1461,24.3
413,hospital,19.099009,72.828958,6,hospital,539,9.0
414,hospital,19.169456,72.79739,6,hospital,1370,22.8
415,hospital,19.070905,72.916917,2,police,473,7.9
416,fire,18.90615,72.831965,1,police,454,7.6
417,hospital,19.144295,72.852698,6,hospital,571,9.5
418,crime,18.948721,72.867062,1,police,1579,26.3
419,crime,18.899625,72.891518,1,police,3153,52.5
420,hospital,19.12778,72.791507,6,hospital,1991,33.2
421,fire,19.201685,73.073575,11,fire,1449,24.1
422,fire,19.214113,73.047194,3,police,945,15.8
423,fire,19.180772,72.935362,3,police,503,8.4
424,fire,19.131611,73.009612,10,fire,335,5.6
425,hospital,19.215297,72.942596,3,police,445,7.4
426,crime,19.319044,72.897207,12,fire,607,10.1
427,crime,19.254666,72.995674,7,hospital,571,9.5
428,hospital,19.172267,72.92872,3,police,552,9.2
429,hospital,19.207929,72.912827,12,fire,1222,20.4
430,hospital,19.122165,73.048926,11,fire,573,9.5
431,crime,19.141679,73.062018,11,fire,940,15.7
432,crime,19.15902,72.976865,3,police,950,15.8
433,fire,19.237341,72.903434,12,fire,1447,24.1
434,crime,19.228281,73.032216,3,police,587,9.8
435,fire,19.318449,73.027876,3,police,1137,18.9
436,crime,19.247982,73.025941,3,police,687,11.4
437,hospital,19.226945,72.89645,12,fire,1148,19.1
438,hospital,19.166738,72.900359,6,hospital,1099,18.3
439,fire,19.146274,72.908017,6,hospital,665,11.1
440,fire,19.198356,72.885889,12,fire,1433,23.9
441,hospital,19.177359,72.935816,3,police,504,8.4
442,fire,19.168573,73.070411,11,fire,1035,17.2
443,fire,19.276053,72.933597,7,hospital,700,11.7
444,fire,19.204875,72.957812,3,police,246,4.1
445,fire,19.172641,72.905128,6,hospital,1197,20.0
446,hospital,19.180466,72.940779,3,police,435,7.3
447,hospital,19.263526,73.041855,3,police,657,11.0
448,fire,19.211875,72.980209,7,hospital,286,4.8
449,fire,19.153923,73.056135,11,fire,677,11.3
450,hospital,19.256676,72.892139,12,fire,809,13.5
451,crime,19.210794,72.917129,3,police,1142,19.0
452,hospital,19.1536,72.928498,3,police,891,14.8
453,fire,19.24026,73.02274,3,police,523,8.7
454,hospital,19.327874,73.053265,3,police,1210,20.2
455,fire,19.182906,72.901019,6,hospital,1486,24.8
456,fire,19.224465,73.074377,3,police,930,15.5
457,fire,19.267441,73.047436,3,police,764,12.7
458,crime,19.166211,73.017933,3,police,671,11.2
459,fire,19.169856,73.047127,11,fire,773,12.9
460,crime,19.260658,72.893952,12,fire,764,12.7
461,crime,19.315231,72.898454,12,fire,560,9.3
462,crime,19.221728,73.074363,3,police,938,15.6
463,fire,19.30504,72.898135,12,fire,538,9.0
464,hospital,19.190411,73.023053,3,police,580,9.7
465,fire,19.270548,73.018717,3,police,1010,16.8
466,hospital,19.324268,72.90759,12,fire,1265,21.1
467,fire,19.13453,73.012817,10,fire,335,5.6
468,crime,19.29475,73.069748,3,police,861,14.3
469,hospital,19.22669,72.922461,3,police,952,15.9
470,hospital,19.302186,73.064518,3,police,916,15.3
471,hospital,19.267834,73.060574,3,police,942,15.7
472,fire,19.270347,72.89204,12,fire,498,8.3
473,crime,19.17343,73.043026,11,fire,1041,17.3
474,fire,19.222853,73.003262,3,police,525,8.8
475,crime,19.13953,72.953362,3,police,786,13.1
476,fire,19.171658,72.980631,3,police,461,7.7
477,fire,19.178217,72.932941,3,police,529,8.8
478,hospital,19.200237,73.000122,3,police,339,5.7
479,crime,19.154145,72.899506,6,hospital,1134,18.9
480,fire,19.326594,73.075275,3,police,1093,18.2
481,crime,19.268562,72.882718,12,fire,398,6.6
482,fire,19.220024,73.006264,3,police,352,5.9
483,hospital,19.318714,72.880192,12,fire,911,15.2
484,crime,19.155468,73.023656,11,fire,853,14.2
485,crime,19.175161,72.995883,10,fire,205,3.4
486,hospital,19.125791,73.027828,10,fire,644,10.7
487,fire,19.141335,72.932411,2,police,628,10.5
488,hospital,19.224978,72.998066,3,police,461,7.7
489,crime,19.268925,72.944378,7,hospital,886,14.8
490,fire,19.170036,72.990668,10,fire,174,2.9
491,fire,19.25241,72.93413,3,police,597,10.0
492,hospital,19.198492,73.036467,3,police,893,14.9
493,fire,19.269757,73.003339,3,police,1177,19.6
494,hospital,19.185,72.939947,3,police,468,7.8
495,hospital,19.196167,72.901666,12,fire,1263,21.0
496,crime,19.198722,72.903882,12,fire,1300,21.7
497,hospital,19.195159,72.907005,12,fire,1386,23.1
498,fire,19.237937,73.056437,3,police,717,12.0
499,hospital,19.130576,72.921509,6,hospital,593,9.9
500,crime,19.227142,73.033428,3,police,643,10.7
501,hospital,19.227128,73.021598,3,police,486,8.1
502,hospital,19.260849,72.987674,7,hospital,400,6.7
503,fire,19.221654,73.05778,3,police,867,14.4
504,crime,19.213462,72.942889,3,police,445,7.4
505,fire,19.297751,73.038415,3,police,1020,17.0
506,hospital,19.16346,72.907439,6,hospital,1157,19.3
507,crime,19.143407,72.94686,3,police,645,10.8
508,hospital,19.179024,73.056074,11,fire,1127,18.8
509,hospital,19.246899,72.893783,12,fire,1452,24.2
510,hospital,19.146132,72.944682,3,police,573,9.6
511,fire,19.157686,72.920586,3,police,902,15.0
512,hospital,19.209473,73.039877,3,police,922,15.4
513,hospital,19.131462,73.018398,10,fire,265,4.4
514,crime,19.140747,73.05816,11,fire,900,15.0
515,fire,19.167064,73.062568,11,fire,974,16.2
516,crime,19.169548,73.023034,11,fire,777,13.0
517,crime,19.277919,73.048682,3,police,725,12.1
518,hospital,19.317665,72.959748,3,police,1403,23.4
519,fire,19.142459,72.925814,2,police,742,12.4
520,hospital,19.126152,72.893286,6,hospital,325,5.4
521,hospital,19.132424,72.951925,3,police,854,14.2
522,crime,19.166681,72.93312,3,police,576,9.6
523,fire,19.177307,72.964075,3,police,308,5.1
524,hospital,19.197821,72.910475,12,fire,1368,22.8
525,hospital,19.311529,72.882533,12,fire,877,14.6
526,fire,19.324114,72.89139,12,fire,798,13.3
527,hospital,19.245526,72.953668,3,police,599,10.0
528,hospital,19.182655,72.954488,3,police,252,4.2
529,fire,19.225931,72.927638,3,police,858,14.3
530,hospital,19.207511,72.943823,3,police,412,6.9
531,hospital,19.280466,72.885057,12,fire,304,5.1
532,hospital,19.141106,72.887926,6,hospital,571,9.5
533,hospital,19.259653,72.880364,12,fire,415,6.9
534,crime,19.268903,73.072611,3,police,863,14.4
