incident_id,incident_time,incident_start,incident_end,response_time_seconds,lat,lng,station_id,station_name,call_type,alarm_level,priority_code,dispatch_zone,locality,distance_km_est,route_distance_meters,route_duration_seconds,modeled_current_response_seconds
CAD-F-202506-0012,2025-06-16T22:15:15,2025-06-16T22:17:12,2025-06-16T22:22:00,288,18.624995,73.856269,FS-208,Bhosari Station,Commercial Fire,1,2,Z-5,Bhosari,2.505,2505.31,243.61,288
CAD-F-202509-0013,2025-09-14T09:12:48,2025-09-14T09:14:22,2025-09-14T09:20:39,377,18.524219,73.877167,FS-201,Shivajinagar Station,Structure Fire,2,3,Z-1,Wagholi,4.228,4227.98,269.37,377
CAD-F-202502-0014,2025-02-21T17:35:37,2025-02-21T17:37:14,2025-02-21T17:46:32,558,18.648654,73.802524,FS-207,Nigdi Station,Residential Alarm,1,2,Z-4,Shivajinagar,5.264,5264.15,398.96,558
CAD-F-202503-0015,2025-03-05T07:35:17,2025-03-05T07:36:50,2025-03-05T07:42:10,320,18.559137,73.950119,FS-205,Kharadi Station,Vehicle Fire,1,2,Z-2,Chinchwad,2.87,2869.54,248.63,320
CAD-F-202506-0016,2025-06-20T05:46:16,2025-06-20T05:47:55,2025-06-20T05:55:14,439,18.501584,73.832626,FS-202,Kothrud Station,Vehicle Fire,3,2,Z-1,Kharadi,3.904,3904.11,352.87,439
CAD-F-202507-0017,2025-07-18T12:31:17,2025-07-18T12:32:30,2025-07-18T12:36:38,248,18.505354,73.905489,FS-203,Hadapsar Station,Electrical Fire,2,1,Z-3,Shivajinagar,4.115,4115.23,174.27,248
CAD-F-202502-0018,2025-02-13T17:16:43,2025-02-13T17:17:20,2025-02-13T17:33:38,978,18.466506,73.913329,FS-203,Hadapsar Station,Electrical Fire,1,4,Z-3,Bhosari,12.665,12664.51,731.14,978
CAD-F-202507-0019,2025-07-19T19:22:27,2025-07-19T19:24:11,2025-07-19T19:33:58,587,18.532698,73.897595,FS-201,Shivajinagar Station,Residential Alarm,3,2,Z-2,Pimpri,6.931,6931.48,431.32,587
CAD-F-202503-0020,2025-03-07T02:09:17,2025-03-07T02:10:24,2025-03-07T02:15:15,291,18.499185,73.909285,FS-203,Hadapsar Station,Rescue Assist,2,3,Z-3,Kharadi,4.278,4278.23,329.54,291
CAD-F-202506-0021,2025-06-21T18:18:20,2025-06-21T18:19:32,2025-06-21T18:36:45,1033,18.614627,73.88486,FS-208,Bhosari Station,Residential Alarm,1,3,Z-5,Nigdi,7.082,7082.31,796.29,1033
CAD-F-202501-0022,2025-01-12T19:07:53,2025-01-12T19:08:53,2025-01-12T19:15:30,397,18.527511,73.882164,FS-201,Shivajinagar Station,Structure Fire,1,3,Z-2,Kothrud,4.646,4645.8,295.66,397
CAD-F-202504-0023,2025-04-27T14:58:26,2025-04-27T14:59:08,2025-04-27T15:04:34,326,18.534105,73.93044,FS-205,Kharadi Station,Structure Fire,1,1,Z-2,Kothrud,3.127,3127.38,255.99,326
CAD-F-202512-0024,2025-12-05T15:41:25,2025-12-05T15:43:18,2025-12-05T15:56:43,805,18.602997,73.800831,FS-208,Bhosari Station,Electrical Fire,2,3,Z-4,Kothrud,9.744,9743.52,703.26,805
CAD-F-202502-0025,2025-02-18T17:29:18,2025-02-18T17:30:57,2025-02-18T17:36:42,345,18.521317,73.849136,FS-201,Shivajinagar Station,Structure Fire,3,1,Z-1,Chinchwad,2.159,2158.93,185.42,345
CAD-F-202509-0026,2025-09-22T12:08:00,2025-09-22T12:09:26,2025-09-22T12:15:41,375,18.503531,73.898975,FS-203,Hadapsar Station,Vehicle Fire,3,3,Z-3,Chinchwad,5.037,5037.02,294.11,375
CAD-F-202508-0027,2025-08-31T19:06:15,2025-08-31T19:07:18,2025-08-31T19:15:21,483,18.488186,73.932575,FS-203,Hadapsar Station,Structure Fire,1,3,Z-3,Bhosari,4.855,4854.85,332.95,483
CAD-F-202502-0028,2025-02-13T12:22:06,2025-02-13T12:23:49,2025-02-13T12:34:07,618,18.661221,73.865293,FS-208,Bhosari Station,Industrial Incident,1,2,Z-5,Nigdi,5.697,5697.13,570.7,618
CAD-F-202512-0029,2025-12-17T04:06:28,2025-12-17T04:07:44,2025-12-17T04:17:33,589,18.530064,73.959086,FS-203,Hadapsar Station,Structure Fire,2,2,Z-2,Wagholi,6.283,6282.64,598.26,589
CAD-F-202502-0030,2025-02-26T07:17:27,2025-02-26T07:18:34,2025-02-26T07:26:49,495,18.546547,73.867434,FS-201,Shivajinagar Station,Structure Fire,1,1,Z-1,Kothrud,5.162,5162.19,359.3,495
CAD-F-202510-0031,2025-10-21T09:23:59,2025-10-21T09:25:06,2025-10-21T09:31:17,371,18.540431,73.881305,FS-201,Shivajinagar Station,Industrial Incident,2,1,Z-1,Wagholi,4.67,4670.04,260.11,371
CAD-F-202508-0032,2025-08-23T12:34:16,2025-08-23T12:35:02,2025-08-23T12:45:33,631,18.608282,73.965236,FS-204,Wagholi Station,Residential Alarm,1,1,Z-2,Shivajinagar,5.519,5519.12,583.46,631
CAD-F-202509-0033,2025-09-09T19:05:48,2025-09-09T19:06:21,2025-09-09T19:26:14,1193,18.622255,73.889523,FS-208,Bhosari Station,Rescue Assist,2,3,Z-5,Chinchwad,6.847,6847.31,885.93,1193
CAD-F-202510-0034,2025-10-29T14:32:58,2025-10-29T14:34:15,2025-10-29T14:41:14,419,18.638157,73.799516,FS-207,Nigdi Station,Residential Alarm,1,3,Z-4,Pimpri,4.879,4879.14,368.74,419
CAD-F-202503-0035,2025-03-02T08:25:20,2025-03-02T08:27:09,2025-03-02T08:34:28,439,18.544562,73.872839,FS-201,Shivajinagar Station,Residential Alarm,1,2,Z-2,Hadapsar,4.732,4732.35,354.87,439
CAD-F-202509-0036,2025-09-02T13:54:46,2025-09-02T13:55:17,2025-09-02T14:02:10,413,18.637311,73.833201,FS-208,Bhosari Station,Vehicle Fire,2,3,Z-4,Hadapsar,2.318,2318.04,348.07,413
CAD-F-202501-0037,2025-01-27T18:17:02,2025-01-27T18:18:48,2025-01-27T18:29:47,659,18.638069,73.803597,FS-207,Nigdi Station,Commercial Fire,2,1,Z-4,Baner,5.697,5697.3,451.75,659
CAD-F-202507-0038,2025-07-31T21:05:43,2025-07-31T21:07:26,2025-07-31T21:12:32,306,18.659017,73.845696,FS-208,Bhosari Station,Rescue Assist,2,2,Z-4,Kothrud,4.241,4241.41,271.23,306
CAD-F-202502-0039,2025-02-02T16:15:03,2025-02-02T16:15:54,2025-02-02T16:22:06,372,18.630021,73.777671,FS-207,Nigdi Station,Commercial Fire,1,2,Z-4,Shivajinagar,3.318,3317.91,305.21,372
CAD-F-202509-0040,2025-09-23T19:45:31,2025-09-23T19:46:56,2025-09-23T19:56:11,555,18.454174,73.932305,FS-203,Hadapsar Station,Vehicle Fire,3,1,Z-3,Kharadi,8.172,8171.98,369.75,555
CAD-F-202509-0041,2025-09-24T18:25:12,2025-09-24T18:25:52,2025-09-24T18:39:53,841,18.560519,73.865841,FS-201,Shivajinagar Station,Residential Alarm,2,3,Z-1,Nigdi,6.013,6012.68,626.23,841
CAD-F-202504-0042,2025-04-25T07:09:05,2025-04-25T07:10:42,2025-04-25T07:21:14,632,18.534733,73.911459,FS-205,Kharadi Station,Residential Alarm,1,3,Z-2,Chinchwad,5.242,5241.86,450.78,632
CAD-F-202508-0043,2025-08-12T11:28:39,2025-08-12T11:30:10,2025-08-12T11:37:06,416,18.483555,73.929855,FS-203,Hadapsar Station,Commercial Fire,3,1,Z-3,Chinchwad,5.384,5384.25,350.11,416
CAD-F-202506-0044,2025-06-24T17:35:32,2025-06-24T17:36:30,2025-06-24T17:44:29,479,18.612897,73.829915,FS-208,Bhosari Station,Residential Alarm,2,2,Z-5,Shivajinagar,5.609,5609.24,365.52,479
CAD-F-202507-0045,2025-07-08T18:55:32,2025-07-08T18:56:03,2025-07-08T19:08:06,723,18.484117,73.935551,FS-203,Hadapsar Station,Rescue Assist,2,2,Z-3,Kothrud,5.239,5239.06,495.64,723
CAD-F-202508-0046,2025-08-16T20:05:51,2025-08-16T20:07:48,2025-08-16T20:20:25,757,18.631039,73.881318,FS-208,Bhosari Station,Structure Fire,1,3,Z-5,Shivajinagar,5.595,5595.06,585.39,757
CAD-F-202511-0047,2025-11-28T00:02:09,2025-11-28T00:03:16,2025-11-28T00:06:47,211,18.544125,73.927508,FS-205,Kharadi Station,Commercial Fire,2,2,Z-2,Shivajinagar,3.156,3156.03,236.27,211
CAD-F-202512-0048,2025-12-20T18:55:50,2025-12-20T18:57:39,2025-12-20T19:12:43,904,18.603435,73.895986,FS-204,Wagholi Station,Electrical Fire,1,1,Z-5,Nigdi,10.844,10844.4,694.3,904
CAD-F-202507-0049,2025-07-20T19:37:26,2025-07-20T19:38:55,2025-07-20T19:47:59,544,18.529038,73.889486,FS-201,Shivajinagar Station,Commercial Fire,1,2,Z-1,Kothrud,6.131,6130.76,401.49,544
CAD-F-202507-0050,2025-07-05T16:03:00,2025-07-05T16:04:38,2025-07-05T16:12:06,448,18.678415,73.768828,FS-207,Nigdi Station,Industrial Incident,2,1,Z-4,Shivajinagar,4.588,4587.65,405.32,448
CAD-F-202508-0051,2025-08-05T19:27:15,2025-08-05T19:28:52,2025-08-05T19:35:28,396,18.520322,73.831326,FS-201,Shivajinagar Station,Vehicle Fire,1,4,Z-1,Nigdi,3.171,3170.65,274.55,396
CAD-F-202504-0052,2025-04-04T21:38:09,2025-04-04T21:38:52,2025-04-04T21:46:19,447,18.522463,73.940613,FS-203,Hadapsar Station,Vehicle Fire,1,2,Z-2,Kothrud,4.114,4114.18,399.59,447
CAD-F-202502-0053,2025-02-04T12:18:47,2025-02-04T12:19:46,2025-02-04T12:23:32,226,18.532388,73.860845,FS-201,Shivajinagar Station,Commercial Fire,1,2,Z-1,Nigdi,1.925,1924.78,148.97,226
CAD-F-202512-0054,2025-12-02T12:02:28,2025-12-02T12:03:37,2025-12-02T12:11:14,457,18.51054,73.888183,FS-203,Hadapsar Station,Structure Fire,1,2,Z-2,Kharadi,6.355,6354.78,361.53,457
CAD-F-202508-0055,2025-08-14T19:18:20,2025-08-14T19:19:32,2025-08-14T19:29:46,614,18.638313,73.806448,FS-207,Nigdi Station,Residential Alarm,1,2,Z-4,Wagholi,6.096,6095.81,457.65,614
CAD-F-202502-0056,2025-02-16T14:55:44,2025-02-16T14:56:13,2025-02-16T15:03:45,452,18.528664,73.927196,FS-205,Kharadi Station,Electrical Fire,1,3,Z-3,Wagholi,4.193,4192.84,352.94,452
CAD-F-202511-0057,2025-11-14T03:50:04,2025-11-14T03:51:20,2025-11-14T03:55:37,257,18.51225,73.940974,FS-203,Hadapsar Station,Residential Alarm,1,2,Z-3,Baner,2.157,2156.62,212.47,257
CAD-F-202509-0058,2025-09-15T11:51:42,2025-09-15T11:52:21,2025-09-15T11:58:58,397,18.637288,73.754221,FS-207,Nigdi Station,Commercial Fire,1,2,Z-4,Kothrud,4.193,4192.93,371.07,397
CAD-F-202506-0059,2025-06-04T17:18:08,2025-06-04T17:19:43,2025-06-04T17:32:58,795,18.665408,73.888437,FS-208,Bhosari Station,Residential Alarm,1,1,Z-5,Bhosari,7.976,7975.88,601.01,795
CAD-F-202509-0060,2025-09-17T19:09:55,2025-09-17T19:11:24,2025-09-17T19:13:54,150,18.558893,73.93104,FS-205,Kharadi Station,Vehicle Fire,2,4,Z-2,Chinchwad,0.954,954.05,114.65,150
CAD-F-202504-0061,2025-04-30T18:04:02,2025-04-30T18:05:54,2025-04-30T18:15:19,565,18.559076,73.846379,FS-201,Shivajinagar Station,Residential Alarm,1,1,Z-1,Kharadi,4.295,4295.06,392.76,565
CAD-F-202503-0062,2025-03-12T13:17:59,2025-03-12T13:19:34,2025-03-12T13:24:58,324,18.626047,73.840422,FS-208,Bhosari Station,Vehicle Fire,1,2,Z-5,Wagholi,1.661,1660.85,251.76,324
CAD-F-202505-0063,2025-05-29T18:40:36,2025-05-29T18:41:35,2025-05-29T18:51:35,600,18.621953,73.873699,FS-208,Bhosari Station,Residential Alarm,1,2,Z-5,Shivajinagar,5.337,5337.02,429.9,600
CAD-F-202509-0064,2025-09-09T14:51:25,2025-09-09T14:53:21,2025-09-09T15:06:36,795,18.628131,73.885114,FS-208,Bhosari Station,Vehicle Fire,2,2,Z-5,Chinchwad,6.044,6043.96,693.13,795
CAD-F-202501-0065,2025-01-09T21:23:37,2025-01-09T21:24:41,2025-01-09T21:33:40,539,18.489725,73.903669,FS-203,Hadapsar Station,Structure Fire,1,1,Z-3,Nigdi,6.592,6592.32,458.29,539
CAD-F-202506-0066,2025-06-03T16:18:33,2025-06-03T16:19:28,2025-06-03T16:25:52,384,18.517942,73.870162,FS-201,Shivajinagar Station,Structure Fire,2,3,Z-1,Shivajinagar,3.762,3762.21,339.61,384
CAD-F-202512-0067,2025-12-26T20:45:30,2025-12-26T20:47:21,2025-12-26T21:04:57,1056,18.643724,73.907951,FS-208,Bhosari Station,Rescue Assist,2,3,Z-5,Bhosari,9.817,9816.81,773.95,1056
CAD-F-202508-0068,2025-08-26T17:33:25,2025-08-26T17:34:25,2025-08-26T17:50:18,953,18.570946,73.828761,FS-201,Shivajinagar Station,Rescue Assist,1,3,Z-1,Chinchwad,7.928,7928.35,722.71,953
CAD-F-202504-0069,2025-04-19T18:02:57,2025-04-19T18:03:29,2025-04-19T18:10:24,415,18.635522,73.762358,FS-207,Nigdi Station,Rescue Assist,1,4,Z-4,Kharadi,3.266,3265.5,292.21,415
CAD-F-202503-0070,2025-03-23T19:33:15,2025-03-23T19:34:24,2025-03-23T19:46:31,727,18.540449,73.945587,FS-205,Kharadi Station,Electrical Fire,1,2,Z-2,Chinchwad,4.843,4843.29,538.76,727
CAD-F-202510-0071,2025-10-06T18:42:00,2025-10-06T18:43:40,2025-10-06T18:49:40,360,18.510314,73.862647,FS-201,Shivajinagar Station,Commercial Fire,2,1,Z-1,Pimpri,3.467,3466.71,243.1,360
CAD-F-202506-0072,2025-06-11T14:00:15,2025-06-11T14:00:57,2025-06-11T14:11:03,606,18.581024,73.904424,FS-205,Kharadi Station,Structure Fire,1,4,Z-2,Nigdi,7.187,7186.51,540.91,606
CAD-F-202507-0073,2025-07-11T20:20:54,2025-07-11T20:22:02,2025-07-11T20:34:09,727,18.623188,73.744093,FS-207,Nigdi Station,Vehicle Fire,1,2,Z-4,Baner,6.387,6386.93,512.06,727
CAD-F-202509-0074,2025-09-04T18:20:25,2025-09-04T18:21:02,2025-09-04T18:36:00,898,18.594732,73.891909,FS-204,Wagholi Station,Rescue Assist,1,2,Z-5,Pimpri,10.653,10652.78,691.99,898
CAD-F-202501-0075,2025-01-23T21:23:13,2025-01-23T21:24:43,2025-01-23T21:31:54,431,18.543305,73.815464,FS-201,Shivajinagar Station,Structure Fire,1,1,Z-1,Kharadi,4.022,4021.66,348.09,431
CAD-F-202512-0076,2025-12-18T10:38:26,2025-12-18T10:39:36,2025-12-18T10:47:12,456,18.558388,73.894143,FS-205,Kharadi Station,Rescue Assist,2,2,Z-2,Kharadi,6.32,6320.08,395.42,456
CAD-F-202507-0077,2025-07-24T21:19:18,2025-07-24T21:20:14,2025-07-24T21:28:01,467,18.550368,73.874064,FS-201,Shivajinagar Station,Commercial Fire,1,3,Z-2,Wagholi,5.64,5640.18,390.24,467
CAD-F-202503-0078,2025-03-06T20:09:00,2025-03-06T20:09:46,2025-03-06T20:15:59,373,18.525663,73.935059,FS-203,Hadapsar Station,Vehicle Fire,2,3,Z-2,Baner,4.855,4854.6,280.15,373
CAD-F-202508-0079,2025-08-03T19:40:40,2025-08-03T19:41:58,2025-08-03T19:50:19,501,18.512502,73.955041,FS-203,Hadapsar Station,Electrical Fire,1,2,Z-3,Chinchwad,4.36,4359.67,375.0,501
CAD-F-202510-0080,2025-10-12T12:30:08,2025-10-12T12:31:36,2025-10-12T12:34:56,200,18.521823,73.846805,FS-201,Shivajinagar Station,Rescue Assist,1,1,Z-1,Shivajinagar,1.694,1693.89,132.64,200
CAD-F-202504-0081,2025-04-07T09:30:02,2025-04-07T09:31:56,2025-04-07T09:41:41,585,18.532727,73.893036,FS-201,Shivajinagar Station,Structure Fire,1,1,Z-2,Shivajinagar,6.536,6536.28,412.73,585
CAD-F-202506-0082,2025-06-29T12:23:09,2025-06-29T12:24:15,2025-06-29T12:32:16,481,18.625789,73.815405,FS-208,Bhosari Station,Structure Fire,2,1,Z-4,Shivajinagar,4.371,4370.98,414.55,481
CAD-F-202505-0083,2025-05-30T18:25:28,2025-05-30T18:26:08,2025-05-30T18:39:39,811,18.475682,73.887477,FS-203,Hadapsar Station,Structure Fire,1,2,Z-3,Pimpri,8.997,8996.66,575.18,811
CAD-F-202509-0084,2025-09-29T21:19:28,2025-09-29T21:21:12,2025-09-29T21:24:31,199,18.481542,73.960068,FS-203,Hadapsar Station,Residential Alarm,2,1,Z-3,Shivajinagar,2.737,2736.72,163.58,199
CAD-F-202502-0085,2025-02-02T07:00:48,2025-02-02T07:02:12,2025-02-02T07:07:12,300,18.527247,73.863675,FS-201,Shivajinagar Station,Structure Fire,1,2,Z-1,Shivajinagar,3.051,3050.54,219.66,300
CAD-F-202506-0086,2025-06-30T20:00:31,2025-06-30T20:02:02,2025-06-30T20:18:11,969,18.479588,73.880364,FS-203,Hadapsar Station,Structure Fire,2,3,Z-3,Nigdi,9.505,9505.13,714.01,969
CAD-F-202512-0087,2025-12-20T23:36:04,2025-12-20T23:36:38,2025-12-20T23:45:04,506,18.546015,73.890638,FS-205,Kharadi Station,Electrical Fire,1,3,Z-2,Hadapsar,6.32,6319.81,368.48,506
CAD-F-202508-0088,2025-08-21T04:19:51,2025-08-21T04:20:45,2025-08-21T04:30:21,576,18.668993,73.817249,FS-207,Nigdi Station,Residential Alarm,1,1,Z-4,Shivajinagar,7.521,7520.63,604.72,576
CAD-F-202510-0089,2025-10-29T20:19:08,2025-10-29T20:20:45,2025-10-29T20:30:41,596,18.677636,73.843496,FS-208,Bhosari Station,Structure Fire,1,3,Z-4,Wagholi,6.78,6780.0,395.52,596
CAD-F-202504-0090,2025-04-07T00:00:33,2025-04-07T00:02:17,2025-04-07T00:08:27,370,18.553208,73.883736,FS-201,Shivajinagar Station,Vehicle Fire,1,4,Z-2,Chinchwad,7.003,7002.93,377.24,370
CAD-F-202503-0091,2025-03-08T02:16:26,2025-03-08T02:17:32,2025-03-08T02:23:45,373,18.612942,73.852022,FS-208,Bhosari Station,Structure Fire,1,3,Z-5,Wagholi,3.144,3143.85,350.43,373
CAD-F-202511-0092,2025-11-06T08:52:37,2025-11-06T08:54:18,2025-11-06T09:04:29,611,18.550914,73.882421,FS-201,Shivajinagar Station,Vehicle Fire,1,3,Z-1,Nigdi,5.943,5942.81,465.08,611
CAD-F-202509-0093,2025-09-19T12:59:55,2025-09-19T13:01:39,2025-09-19T13:09:07,448,18.666,73.798827,FS-207,Nigdi Station,Structure Fire,2,2,Z-4,Wagholi,4.513,4513.03,356.7,448
CAD-F-202508-0094,2025-08-28T17:23:28,2025-08-28T17:24:29,2025-08-28T17:33:45,556,18.539439,73.922475,FS-205,Kharadi Station,Rescue Assist,1,1,Z-2,Kothrud,4.215,4214.71,405.9,556
CAD-F-202505-0095,2025-05-06T18:28:38,2025-05-06T18:30:28,2025-05-06T18:36:57,389,18.623364,73.85011,FS-208,Bhosari Station,Residential Alarm,1,3,Z-5,Pimpri,2.22,2220.09,243.07,389
CAD-F-202506-0096,2025-06-12T20:06:41,2025-06-12T20:07:33,2025-06-12T20:13:40,367,18.651919,73.839475,FS-208,Bhosari Station,Electrical Fire,1,1,Z-4,Pimpri,3.921,3921.44,273.43,367
CAD-F-202512-0097,2025-12-27T18:22:55,2025-12-27T18:23:42,2025-12-27T18:29:33,351,18.637281,73.847721,FS-208,Bhosari Station,Residential Alarm,1,3,Z-4,Pimpri,1.544,1543.83,196.62,351
CAD-F-202507-0098,2025-07-30T13:56:04,2025-07-30T13:57:33,2025-07-30T14:01:14,221,18.485855,73.948256,FS-203,Hadapsar Station,Residential Alarm,1,1,Z-3,Kothrud,1.987,1986.87,160.18,221
CAD-F-202501-0099,2025-01-09T08:57:11,2025-01-09T08:58:36,2025-01-09T09:08:42,606,18.560499,73.868513,FS-201,Shivajinagar Station,Commercial Fire,2,2,Z-2,Shivajinagar,6.505,6504.51,483.5,606
CAD-F-202501-0100,2025-01-21T08:28:07,2025-01-21T08:28:45,2025-01-21T08:39:20,635,18.525156,73.905233,FS-203,Hadapsar Station,Vehicle Fire,3,3,Z-2,Shivajinagar,6.667,6667.04,510.89,635
CAD-F-202502-0101,2025-02-19T18:17:18,2025-02-19T18:19:02,2025-02-19T18:32:20,798,18.460828,73.924704,FS-203,Hadapsar Station,Industrial Incident,3,4,Z-3,Pimpri,9.354,9354.13,585.84,798
CAD-F-202512-0102,2025-12-10T15:18:25,2025-12-10T15:19:08,2025-12-10T15:37:03,1075,18.595134,73.884934,FS-208,Bhosari Station,Electrical Fire,1,2,Z-5,Shivajinagar,10.629,10628.88,980.01,1075
CAD-F-202502-0103,2025-02-08T16:51:31,2025-02-08T16:53:12,2025-02-08T17:00:05,413,18.552772,73.907518,FS-205,Kharadi Station,Structure Fire,1,2,Z-2,Bhosari,4.564,4563.53,329.38,413
CAD-F-202508-0104,2025-08-09T06:56:13,2025-08-09T06:56:38,2025-08-09T07:01:47,309,18.641051,73.840119,FS-208,Bhosari Station,Structure Fire,1,3,Z-4,Pimpri,1.964,1964.33,229.75,309
CAD-F-202503-0105,2025-03-09T18:14:08,2025-03-09T18:15:48,2025-03-09T18:20:04,256,18.559941,73.928334,FS-205,Kharadi Station,Industrial Incident,1,2,Z-2,Pimpri,1.838,1837.69,187.11,256
CAD-F-202501-0106,2025-01-14T20:56:00,2025-01-14T20:57:39,2025-01-14T21:06:39,540,18.514384,73.90737,FS-203,Hadapsar Station,Vehicle Fire,1,2,Z-2,Bhosari,5.803,5803.43,404.41,540
CAD-F-202505-0107,2025-05-12T22:07:05,2025-05-12T22:08:44,2025-05-12T22:12:46,242,18.495355,73.926817,FS-203,Hadapsar Station,Rescue Assist,1,2,Z-3,Kharadi,3.948,3947.91,232.68,242
CAD-F-202505-0108,2025-05-19T21:07:00,2025-05-19T21:08:28,2025-05-19T21:11:41,193,18.550242,73.937567,FS-205,Kharadi Station,Commercial Fire,1,2,Z-2,Hadapsar,1.176,1176.08,131.08,193
CAD-F-202502-0109,2025-02-22T18:49:22,2025-02-22T18:50:31,2025-02-22T18:58:10,459,18.506717,73.854666,FS-201,Shivajinagar Station,Structure Fire,3,2,Z-3,Kharadi,3.768,3767.96,296.67,459
CAD-F-202508-0110,2025-08-29T18:37:38,2025-08-29T18:39:09,2025-08-29T18:46:21,432,18.558411,73.845383,FS-201,Shivajinagar Station,Structure Fire,3,2,Z-1,Bhosari,3.389,3388.86,292.84,432
CAD-F-202504-0111,2025-04-13T03:16:23,2025-04-13T03:17:14,2025-04-13T03:21:50,276,18.643288,73.769246,FS-207,Nigdi Station,Structure Fire,1,3,Z-4,Kharadi,1.417,1417.43,162.42,276
CAD-F-202506-0112,2025-06-01T13:43:18,2025-06-01T13:44:57,2025-06-01T13:52:28,451,18.564336,73.891007,FS-201,Shivajinagar Station,Vehicle Fire,1,4,Z-2,Nigdi,7.638,7637.99,418.45,451
CAD-F-202512-0113,2025-12-26T02:50:59,2025-12-26T02:52:16,2025-12-26T02:54:55,159,18.55659,73.932654,FS-205,Kharadi Station,Industrial Incident,2,4,Z-2,Kharadi,0.654,654.12,93.06,159
CAD-F-202505-0114,2025-05-12T10:56:44,2025-05-12T10:57:52,2025-05-12T11:01:31,219,18.490344,73.945893,FS-203,Hadapsar Station,Residential Alarm,1,3,Z-3,Bhosari,2.439,2438.85,161.81,219
CAD-F-202503-0115,2025-03-11T10:38:41,2025-03-11T10:39:54,2025-03-11T10:43:10,196,18.502615,73.94477,FS-203,Hadapsar Station,Residential Alarm,1,1,Z-3,Kharadi,1.567,1567.33,154.74,196
CAD-F-202504-0116,2025-04-22T10:01:48,2025-04-22T10:03:07,2025-04-22T10:10:43,456,18.636503,73.82015,FS-208,Bhosari Station,Electrical Fire,2,2,Z-4,Kothrud,4.212,4212.23,385.08,456
CAD-F-202510-0117,2025-10-07T09:08:16,2025-10-07T09:08:44,2025-10-07T09:16:23,459,18.645043,73.795428,FS-207,Nigdi Station,Industrial Incident,1,2,Z-4,Nigdi,4.133,4132.51,312.56,459
CAD-F-202509-0118,2025-09-30T16:15:03,2025-09-30T16:15:41,2025-09-30T16:23:45,484,18.636711,73.749675,FS-207,Nigdi Station,Rescue Assist,1,3,Z-4,Hadapsar,4.872,4871.69,414.69,484
CAD-F-202512-0119,2025-12-18T12:36:10,2025-12-18T12:36:58,2025-12-18T12:40:20,202,18.520442,73.856967,FS-201,Shivajinagar Station,Electrical Fire,1,2,Z-1,Chinchwad,1.934,1934.04,137.85,202
